"Survey","nHost","nInfect","nExpectd","nPatent","nTransmit","nTreatments1","nUncomp","innoculationsPerAgeGroup","innoculationsPerAgeGroup_2","Vector_Nv","Vector_Nv_2","inputEIR","simulatedEIR","nMDAs","nMassScreenings","nTreatDiagnostics","nInfectByGenotype","nInfectByGenotype_2","nPatentByGenotype","nPatentByGenotype_2","nHostDrugConcNonZero","nHostDrugConcNonZero_2","nHostDrugConcNonZero_3","nHostDrugConcNonZero_4","sumLogDrugConcNonZero","sumLogDrugConcNonZero_2","Inoculation_S","Inoculation_R","Infection_S","Infection_R","Patent_S","Patent_R"
1,1e+05,79271,99066.9,39796,0.0220792,0,0,0,0,4129320,23575500,0,0,0,0,0,78080,10933,28606,2136,0,22977,0,0,-81305.8,0,0,0,0.877175244065474,0.122824755934526,0.930518508880359,0.0694814911196409
2,1e+05,74519,98918.5,37973,0.0221651,8381,10897,1452620,72979.5,4129320,23575500,7.31297,3.37016,0,0,8498,73338,9714,27021,2025,0,22959,0,0,-81109.7,0,0.952163395438973,0.0478366045610267,0.883037133362231,0.116962866637769,0.930282999380293,0.0697170006197067
3,1e+05,73245,98875.4,32937,0.0167435,6951,9021,1424130,77506.1,4129320,23575500,7.31297,3.3172,0,0,7059,71954,9075,22695,1613,0,21848,0,0,-78946.6,0,0.948385564252218,0.051614435747782,0.888003060632613,0.111996939367387,0.933643245022215,0.0663567549777851
4,1e+05,71427,98824.4,31592,0.0167445,6949,9129,1185330,62231.4,4129320,23575500,7.31297,2.75592,0,0,7044,70114,8401,22149,1522,0,20341,0,0,-73823.4,0,0.950117565355902,0.0498824346440985,0.893001337324078,0.106998662675922,0.935701913734105,0.064298086265895
5,1e+05,70388,98799.2,30746,0.0161163,6897,8924,1105770,57127.9,4129320,23575500,7.31297,2.5689,0,0,6998,69021,7898,21508,1427,0,19058,0,0,-67980.9,0,0.950874535073114,0.0491254649268865,0.897320557989573,0.102679442010427,0.937780684543274,0.0622193154567255
6,1e+05,69872,98785.5,30000,0.0156937,6813,8756,1076000,56823.4,4129320,23575500,7.31297,2.50246,0,0,6919,68413,7781,20885,1412,0,18558,0,0,-65916.5,0,0.949839136444392,0.0501608635556081,0.897879098091713,0.102120901908287,0.936673095035207,0.0633269049647935
7,1e+05,69358,98776.5,29688,0.0155822,6757,8892,1051080,55729.9,4129320,23575500,7.31297,2.445,0,0,6858,67855,7553,20819,1424,0,18407,0,0,-65479.2,0,0.949648173548141,0.0503518264518595,0.899838213452154,0.100161786547846,0.935979858831992,0.0640201411680079
8,1e+05,69040,98772.1,29671,0.0155781,6793,8858,1039820,56206.8,4129320,23575500,7.31297,2.42115,0,0,6888,67498,7490,20753,1458,0,18297,0,0,-64965.7,0,0.948717677341466,0.0512823226585335,0.900117352109671,0.0998826478903291,0.934356850209356,0.0656431497906443
9,1e+05,68674,98770.9,29715,0.0158407,6874,8897,1039360,57502.6,4129320,23575500,7.31297,2.42304,0,0,6963,67148,7393,20731,1475,0,18366,0,0,-64973.9,0,0.947575384555914,0.0524246154440857,0.900819683127406,0.0991803168725936,0.933576510852923,0.0664234891470774
10,1e+05,68538,98772.9,29479,0.0156859,6932,8963,1051940,57924.8,4129320,23575500,7.31297,2.45177,0,0,7034,67051,7361,20760,1475,0,18477,0,0,-65268.8,0,0.947809138554534,0.0521908614454661,0.901077783153255,0.0989222168467452,0.933663143692377,0.0663368563076231
11,1e+05,68269,98772.7,29415,0.0155471,6840,8928,1050960,57460.7,4129320,23575500,7.31297,2.44855,0,0,6965,66815,7263,20747,1460,0,18487,0,0,-65452.4,0,0.948159845805839,0.0518401541941611,0.901954696401091,0.0980453035989093,0.934254964650786,0.0657450353492142
12,1e+05,68281,98771.6,29693,0.0159767,6902,9111,1045210,55576.1,4129320,23575500,7.31297,2.4317,0,0,6991,66860,7052,20979,1399,0,18565,0,0,-65924.8,0,0.949512353035708,0.0504876469642922,0.904589241259877,0.0954107587401234,0.937483242470283,0.0625167575297167
13,1e+05,68272,98774.6,29608,0.0158217,6955,9026,1060060,58033.4,4129320,23575500,7.31297,2.46993,0,0,7074,66850,7126,21020,1392,0,18567,0,0,-65593.9,0,0.948096107176735,0.051903892823265,0.903671461014383,0.096328538985617,0.937890415848653,0.0621095841513475
14,1e+05,68203,98775,29733,0.0160968,7087,9252,1063790,53889.9,4129320,23575500,7.31297,2.469,0,0,7215,66831,7050,20923,1459,0,18748,0,0,-66177.2,0,0.951784137837676,0.0482158621623239,0.904576278068786,0.0954237219312137,0.934813689571978,0.0651863104280225
15,1e+05,68075,98777.1,29705,0.0161699,7159,9199,1069290,56557.5,4129320,23575500,7.31297,2.48708,0,0,7276,66621,7006,20855,1379,0,19099,0,0,-67350,0,0.949764510735246,0.0502354892647539,0.904844690127263,0.0951553098727369,0.937977871727984,0.0620221282720158
16,1e+05,68161,98778.1,29538,0.015909,7029,9159,1074820,55673.9,4129320,23575500,7.31297,2.49734,0,0,7129,66724,6991,20903,1422,0,19127,0,0,-67741.6,0,0.950752586988749,0.0492474130112511,0.905161771688259,0.0948382283117412,0.936304591265398,0.0636954087346025
17,1e+05,68088,98777.8,29538,0.0158938,7004,9042,1069700,54940.8,4129320,23575500,7.31297,2.48439,0,0,7107,66629,6985,20903,1374,0,19100,0,0,-67808.6,0,0.951148135475789,0.0488518645242108,0.90511315782324,0.0948868421767599,0.938322036180814,0.0616779638191857
18,1e+05,68129,98776.4,29753,0.0163348,7049,9258,1066290,55096.3,4129320,23575500,7.31297,2.4772,0,0,7155,66672,6931,21128,1394,0,18982,0,0,-67257.1,0,0.950867689394814,0.0491323106051857,0.905832642691195,0.0941673573088053,0.938104964035166,0.0618950359648344
19,1e+05,68035,98779.2,30066,0.0164571,7107,9216,1080030,54295.6,4129320,23575500,7.31297,2.5058,0,0,7224,66605,6813,21294,1407,0,18977,0,0,-66966.9,0,0.952134025715368,0.0478659742846322,0.907202593369473,0.0927974066305266,0.938020351526364,0.0619796484736355
20,1e+05,68164,98781.7,30041,0.0164455,7186,9333,1090960,55540.3,4129320,23575500,7.31297,2.5327,0,0,7300,66724,6952,21315,1356,0,19259,0,0,-67955.3,0,0.951556663351942,0.0484433366480584,0.905640914273305,0.0943590857266953,0.940187905253407,0.0598120947465926
21,1e+05,68224,98783.1,30069,0.016234,7210,9341,1099180,52770.9,4129320,23575500,7.31297,2.54472,0,0,7306,66870,6703,21157,1350,0,19428,0,0,-68869.6,0,0.954189974590063,0.0458100254099372,0.908893208106235,0.0911067918937654,0.940018660861065,0.0599813391389346
22,1e+05,68022,98782.9,29907,0.0163451,7249,9327,1091760,54106.6,4129320,23575500,7.31297,2.53129,0,0,7363,66673,6771,21204,1316,0,19561,0,0,-69132.7,0,0.952781065439904,0.0472189345600963,0.9078073089701,0.0921926910299003,0.941563055062167,0.058436944937833
23,1e+05,67978,98784,30090,0.0167581,7292,9576,1097930,54091.6,4129320,23575500,7.31297,2.54487,0,0,7391,66625,6691,21214,1351,0,19622,0,0,-69228.4,0,0.953046366491739,0.0469536335082606,0.908737519777402,0.0912624802225981,0.940128517615777,0.0598714823842234
24,1e+05,68198,98786.4,30065,0.0162759,7067,9271,1109900,54487.1,4129320,23575500,7.31297,2.57219,0,0,7170,66794,6732,21387,1380,0,19539,0,0,-69423.5,0,0.953205338671306,0.0467946613286939,0.908440551641596,0.0915594483584038,0.939385953353538,0.060614046646462
25,1e+05,68145,98784.6,30127,0.0169235,7393,9583,1097200,53787.3,4129320,23575500,7.31297,2.54261,0,0,7489,66779,6701,21296,1351,0,19588,0,0,-69312,0,0.953268554744262,0.0467314452557383,0.90880511703865,0.09119488296135,0.940345299598181,0.0596547004018192
26,1e+05,68426,98788.6,30169,0.0167675,7273,9463,1114730,59147.6,4129320,23575500,7.31297,2.59318,0,0,7385,67015,6874,21360,1436,0,19640,0,0,-69356.1,0,0.949613486107921,0.0503865138920787,0.906968560949532,0.0930314390504676,0.937006492367082,0.0629935076329181
27,1e+05,68132,98788.6,30127,0.016804,7457,9615,1116550,54627.3,4129320,23575500,7.31297,2.58719,0,0,7578,66783,6690,21383,1347,0,19904,0,0,-70309.6,0,0.953356934086752,0.0466430659132481,0.908946143481279,0.0910538565187212,0.940739111306643,0.0592608886933568
28,1e+05,68156,98789.7,30215,0.0167423,7245,9282,1116710,57357.3,4129320,23575500,7.31297,2.59359,0,0,7349,66741,6900,21389,1446,0,19847,0,0,-70378.3,0,0.95114649730897,0.0488535026910297,0.906302195787673,0.0936978042123274,0.936676155025181,0.0633238449748194
29,1e+05,68204,98790.2,30328,0.0166845,7276,9582,1121950,54454.3,4129320,23575500,7.31297,2.59876,0,0,7371,66856,6772,21388,1432,0,19867,0,0,-70504.6,0,0.953711236859641,0.0462887631403591,0.908024121258217,0.091975878741783,0.937248028045574,0.0627519719544259
30,1e+05,68511,98791.8,30281,0.0171663,7495,9643,1126260,57360.3,4129320,23575500,7.31297,2.61469,0,0,7584,67128,6851,21572,1427,0,19894,0,0,-70306.4,0,0.95153825935564,0.0484617406443604,0.907392638451452,0.0926073615485476,0.937953824079308,0.0620461759206922
31,1e+05,68555,98794.3,30429,0.0170267,7508,9690,1139260,57984.9,4129320,23575500,7.31297,2.64478,0,0,7616,67124,6909,21529,1435,0,20094,0,0,-70944.5,0,0.951568054288642,0.0484319457113578,0.906676752259128,0.0933232477408723,0.937510886605121,0.0624891133948789
32,1e+05,68600,98794.1,30545,0.0172439,7402,9605,1134760,56795.6,4129320,23575500,7.31297,2.63222,0,0,7519,67147,6872,21624,1422,0,20280,0,0,-71718.6,0,0.952334914124024,0.0476650858759759,0.9071589726962,0.0928410273038004,0.938297318406665,0.0617026815933351
33,1e+05,68508,98794.8,30740,0.0171248,7455,9663,1138240,57685.8,4129320,23575500,7.31297,2.64186,0,0,7575,67030,6852,21887,1451,0,20231,0,0,-71667.4,0,0.951764733230105,0.0482352667698949,0.907257518746109,0.0927424812538913,0.937826720370212,0.0621732796297883
34,1e+05,68564,98796.2,30474,0.0174549,7646,9851,1140670,59548.7,4129320,23575500,7.31297,2.65135,0,0,7751,67160,6819,21786,1387,0,20342,0,0,-71816.8,0,0.950385125644185,0.0496148743558153,0.907825193636032,0.0921748063639682,0.940145859405342,0.0598541405946576
35,1e+05,68653,98799,30585,0.0172826,7674,9867,1157340,60123.1,4129320,23575500,7.31297,2.68944,0,0,7800,67235,6936,21795,1447,0,20516,0,0,-72316.4,0,0.950616080273809,0.0493839197261913,0.906486362594545,0.093513637405455,0.937742018759143,0.0622579812408571
36,1e+05,68610,98798.9,30324,0.0170907,7376,9448,1155560,55916.6,4129320,23575500,7.31297,2.67621,0,0,7481,67205,6945,21586,1403,0,20555,0,0,-72997.1,0,0.953844259146235,0.0461557408537647,0.90633850303439,0.0936614969656103,0.938970812127539,0.0610291878724607
37,1e+05,68529,98796.8,30605,0.0169867,7393,9698,1144090,56270.9,4129320,23575500,7.31297,2.65167,0,0,7506,67140,6928,21673,1372,0,20301,0,0,-72317.4,0,0.953121681987476,0.0468783180125244,0.906464330075066,0.0935356699249338,0.940464308960729,0.059535691039271
38,1e+05,68589,98796.6,30539,0.0173747,7713,9932,1141840,56342.2,4129320,23575500,7.31297,2.64686,0,0,7818,67239,6966,21764,1436,0,20329,0,0,-71604.7,0,0.952976934559702,0.0470230654402978,0.906124924196483,0.0938750758035173,0.938103448275862,0.0618965517241379
39,1e+05,68860,98799.5,30545,0.0173043,7553,9756,1162090,56746.6,4129320,23575500,7.31297,2.69248,0,0,7674,67488,6855,21695,1462,0,20534,0,0,-72498.7,0,0.953441995424161,0.046558004575839,0.907792260199346,0.0922077398006537,0.936865742540053,0.0631342574599473
40,1e+05,68708,98799.8,30939,0.0175543,7619,9817,1156680,60149.9,4129320,23575500,7.31297,2.68807,0,0,7724,67296,6920,21954,1406,0,20772,0,0,-73683.3,0,0.950568357993176,0.0494316420068245,0.906758650425784,0.0932413495742158,0.939811643835616,0.0601883561643836
41,1e+05,69025,98801.3,30907,0.0175983,7640,9812,1166200,57252.7,4129320,23575500,7.31297,2.70269,0,0,7746,67634,6942,22055,1478,0,20617,0,0,-73043.1,0,0.953203993910022,0.046796006089978,0.906913752413645,0.0930862475863549,0.937194577826881,0.0628054221731186
42,1e+05,68967,98803.2,31073,0.0179204,7577,9891,1172620,58985,4129320,23575500,7.31297,2.7207,0,0,7683,67558,7079,22071,1460,0,20623,0,0,-72913.2,0,0.952107209697915,0.0478927903020855,0.905154280048769,0.0948457199512306,0.937954188092304,0.0620458119076962
43,1e+05,69166,98806.8,31234,0.0176449,7635,9861,1190160,61628.1,4129320,23575500,7.31297,2.76527,0,0,7752,67742,7209,22204,1570,0,20755,0,0,-73617.8,0,0.950767945469365,0.049232054530635,0.903817160544889,0.0961828394551107,0.933961470514007,0.0660385294859931
44,1e+05,68897,98807.2,31086,0.0180607,7901,10104,1188710,58659.4,4129320,23575500,7.31297,2.75553,0,0,8014,67528,7118,22019,1571,0,20942,0,0,-73988.4,0,0.952973513700112,0.0470264862998884,0.904643249470836,0.0953567505291643,0.933403984739296,0.0665960152607037
45,1e+05,68964,98809.2,31027,0.0177955,7733,9902,1199050,60850.9,4129320,23575500,7.31297,2.78322,0,0,7849,67626,7069,22182,1411,0,20941,0,0,-73927,0,0.951701836231723,0.0482981637682773,0.905361804672334,0.0946381953276658,0.940194125376171,0.0598058746238291
46,1e+05,68915,98807.5,31242,0.0178242,7623,9856,1185810,59961.6,4129320,23575500,7.31297,2.75199,0,0,7723,67533,7119,22177,1531,0,21011,0,0,-74529.5,0,0.951867902591454,0.0481320974085458,0.904637518083909,0.0953624819160907,0.935422642146111,0.064577357853889
