"Survey","nHost","nInfect","nExpectd","nPatent","nTransmit","nTreatments1","nUncomp","innoculationsPerAgeGroup","innoculationsPerAgeGroup_2","Vector_Nv","Vector_Nv_2","inputEIR","simulatedEIR","nMDAs","nMassScreenings","nTreatDiagnostics","nInfectByGenotype","nInfectByGenotype_2","nPatentByGenotype","nPatentByGenotype_2","nHostDrugConcNonZero","nHostDrugConcNonZero_2","nHostDrugConcNonZero_3","sumLogDrugConcNonZero","sumLogDrugConcNonZero_2","sumLogDrugConcNonZero_3","Inoculation_S","Inoculation_R","Infection_S","Infection_R","Patent_S","Patent_R"
1,1e+05,78700,97584.6,38917,0.0347757,0,0,0,0,9043.96,80332.1,0,0,0,0,0,61870,61778,15484,15707,0,1357,0,0,-25404.1,0,0,0,0.500372023809524,0.499627976190476,0.496425250873649,0.503574749126351
2,1e+05,72544,97122.5,23596,0.0180674,2336,6647,6856.09,6865.96,4393.75,28755,0.016734,0.0303132,0,0,2356,53737,54011,7747,7857,0,626,0,0,-11834.2,0,0.499640359858767,0.500359640141233,0.498728514682407,0.501271485317593,0.49647526275314,0.50352473724686
3,1e+05,64398,96682.1,11729,0.0080022,939,3001,1286.98,1299.12,7775.12,39851.1,0.00802331,0.00571287,0,0,952,44303,44382,3341,3340,0,275,0,0,-4939.29,0,0.497652836317234,0.502347163682766,0.499554603371483,0.500445396628517,0.500074839095944,0.499925160904056
4,1e+05,55037,96294.4,4600,0.00243376,260,893,533.779,546.749,29136.2,140453,0.0145702,0.00238692,0,0,268,35343,35378,1100,1128,0,70,0,0,-1225.93,0,0.493998304532599,0.506001695467401,0.499752548747897,0.500247451252103,0.493716337522442,0.506283662477558
5,1e+05,45946,95947.9,2028,0.00079106,101,316,510.337,533.757,98826,489634,0.0543603,0.00230643,0,0,102,28000,27991,491,473,0,37,0,0,-729.76,0,0.488784534725801,0.511215465274199,0.500080370059474,0.499919629940526,0.509336099585062,0.490663900414938
6,1e+05,38652,95629.9,1476,0.000603652,84,273,571.959,617.584,195127,1027850,0.177028,0.00262772,0,0,84,22736,22630,373,393,0,26,0,0,-495.414,0,0.480822467115523,0.519177532884477,0.501168275801261,0.498831724198739,0.486945169712794,0.513054830287206
7,1e+05,33484,95337.1,1407,0.000668449,95,298,879.724,909.116,263865,1443200,0.344277,0.00395158,0,0,97,19173,19152,433,443,0,20,0,0,-386.388,0,0.4917846202008,0.508215379799199,0.50027397260274,0.49972602739726,0.494292237442922,0.505707762557078
8,1e+05,30198,95069.9,1845,0.000999238,119,476,1411.73,1440.39,364161,1969550,0.469575,0.00630038,0,0,122,17004,17024,589,598,0,52,0,0,-944.822,0,0.494975667222978,0.505024332777022,0.499706124368167,0.500293875631833,0.496208930075821,0.503791069924179
9,1e+05,29369,94848.1,2579,0.00139668,187,679,2727.42,2911.81,553108,2974780,0.651148,0.0124572,0,0,190,16456,16470,872,878,0,51,0,0,-915.164,0,0.483651136768672,0.516348863231328,0.499787402053089,0.500212597946911,0.498285714285714,0.501714285714286
10,1e+05,31845,94713.2,4488,0.00250337,366,1295,5977.08,5895.73,604179,3469980,0.974842,0.0262272,0,0,368,17971,17912,1554,1615,0,124,0,0,-2299.04,0,0.50342589496505,0.49657410503495,0.500822116322493,0.499177883677507,0.490375512780057,0.509624487219943
11,1e+05,38295,94723.9,8294,0.00492788,755,2699,11357.7,12219.2,291781,1975980,1.04785,0.0520819,0,0,761,21858,22198,3018,3062,0,284,0,0,-5045.24,0,0.481729998430667,0.518270001569333,0.496141274741238,0.503858725258762,0.496381578947368,0.503618421052632
12,1e+05,44285,94756.4,13466,0.00907583,1437,4702,13909.2,13751.3,62828.8,531013,0.523046,0.0611028,0,0,1453,26105,26109,4895,5070,0,501,0,0,-8585.91,0,0.502854250646228,0.497145749353772,0.499961696096832,0.500038303903168,0.491219267436026,0.508780732563974
13,1e+05,44626,94621.3,15136,0.0115996,1782,5686,7840.03,8046.75,11415.3,103705,0.117733,0.0350943,0,0,1805,26407,26534,5542,5342,0,613,0,0,-11310.5,0,0.493493961646098,0.506506038353902,0.498800551557394,0.501199448442606,0.509187798603455,0.490812201396545
14,1e+05,40420,94348.6,10830,0.008664,1360,3932,2488.73,2525.43,4519.2,31379.3,0.0212183,0.0110764,0,0,1374,23641,23704,3521,3616,0,398,0,0,-7461.44,0,0.4963403640889,0.5036596359111,0.499334671031788,0.500665328968212,0.49334454252487,0.50665545747513
15,1e+05,34065,94042.6,5290,0.00379786,587,1754,614.59,618.716,6557.41,34462.5,0.00824396,0.00272441,0,0,594,19335,19436,1479,1480,0,146,0,0,-2767.76,0,0.498327260225767,0.501672739774233,0.498697480075314,0.501302519924686,0.499831023994593,0.500168976005407
16,1e+05,27558,93743.6,2012,0.00114729,162,487,235.135,242.605,23056.3,111395,0.0122334,0.00105534,0,0,167,15174,15351,581,501,0,36,0,0,-769.067,0,0.492181939967346,0.507818060032654,0.497100737100737,0.502899262899263,0.536968576709797,0.463031423290203
17,1e+05,22166,93456.9,947,0.000387787,58,190,209.402,197.344,83391.3,409740,0.0432262,0.000898508,0,0,58,11997,12040,234,251,0,18,0,0,-419.012,0,0.51482251823005,0.48517748176995,0.499105545617174,0.500894454382826,0.482474226804124,0.517525773195876
18,1e+05,18441,93180.9,681,0.00025671,41,136,236.045,258.666,180714,942296,0.150309,0.00109282,0,0,41,9842,9890,182,181,0,14,0,0,-300.372,0,0.477137156845107,0.522862843154892,0.49878370160146,0.50121629839854,0.50137741046832,0.49862258953168
19,1e+05,15900,92916.3,667,0.000323883,50,159,367.636,387.358,252958,1380030,0.318846,0.00166779,0,0,50,8439,8457,183,214,0,18,0,0,-281.099,0,0.48693896905141,0.51306103094859,0.499467329545455,0.500532670454545,0.46095717884131,0.53904282115869
20,1e+05,14563,92666.7,779,0.000397293,71,231,625.897,648.574,341141,1851780,0.449399,0.00281533,0,0,72,7686,7736,260,254,0,25,0,0,-465.724,0,0.4911033675933,0.5088966324067,0.498378939177798,0.501621060822202,0.505836575875486,0.494163424124514
21,1e+05,14335,92441.4,1231,0.000725787,104,404,1117.93,1143.53,519579,2786940,0.610127,0.00499558,0,0,106,7503,7638,405,434,0,42,0,0,-786.105,0,0.494339939684982,0.505660060315018,0.495541906082822,0.504458093917179,0.482717520858164,0.517282479141836
22,1e+05,16518,92296,2104,0.0011459,211,664,2757.23,2965.97,624261,3522880,0.919244,0.0126426,0,0,212,8677,8839,729,726,0,85,0,0,-1555.9,0,0.481763698630137,0.518236301369863,0.49537565654259,0.50462434345741,0.501030927835052,0.498969072164948
23,1e+05,21617,92279.7,4444,0.00260066,475,1611,5581.25,6160.73,351438,2300280,1.0829,0.0259382,0,0,478,11417,11825,1585,1666,0,176,0,0,-2968.06,0,0.475324434209563,0.524675565790437,0.491222786335083,0.508777213664917,0.48754229467856,0.51245770532144
24,1e+05,28055,92353.5,7818,0.00519225,910,3073,8292.7,8377.31,84092,686608,0.624456,0.0368244,0,0,928,15228,15628,2862,2991,0,338,0,0,-5750.54,0,0.497462209080858,0.502537790919142,0.493518278454758,0.506481721545242,0.488980010251153,0.511019989748847
25,1e+05,30330,92298,10203,0.00811859,1409,4334,5536.3,5986.82,14737.7,135394,0.156914,0.0254548,0,0,1424,16582,17151,3707,3687,0,494,0,0,-8539.06,0,0.480451474947757,0.519548525052243,0.491566122194883,0.508433877805117,0.501352447930755,0.498647552069245
26,1e+05,27990,92082.3,8168,0.00682777,1137,3330,2057.2,2166.87,4831.3,35613.2,0.0275101,0.00933107,0,0,1150,15279,15676,2640,2802,0,345,0,0,-6234.02,0,0.487018444296614,0.512981555703386,0.493587465675981,0.506412534324019,0.485115766262404,0.514884233737597
27,1e+05,23486,91806.8,4172,0.00331881,585,1595,534.778,565.182,5673.97,30758.7,0.00881798,0.00242985,0,0,593,12675,12902,1186,1241,0,155,0,0,-2896.72,0,0.48617949743627,0.51382050256373,0.495562419361145,0.504437580638855,0.488669138854553,0.511330861145447
28,1e+05,18590,91526.4,1628,0.00108228,190,509,183.749,198.964,18243.4,88573.1,0.0105314,0.00084542,0,0,194,9775,10114,408,460,0,57,0,0,-1162.11,0,0.48012218032834,0.51987781967166,0.491477701241892,0.508522298758108,0.470046082949309,0.529953917050691
29,1e+05,14597,91252.9,702,0.000314571,55,170,145.003,153.468,69263.3,337913,0.0343173,0.000659326,0,0,56,7625,7781,158,200,0,15,0,0,-238.063,0,0.485819392838835,0.514180607161165,0.49493703751785,0.50506296248215,0.441340782122905,0.558659217877095
30,1e+05,11792,90987.1,446,0.000208094,35,115,159.764,179.444,165210,852386,0.12571,0.000749317,0,0,35,6076,6227,112,128,0,10,0,0,-204.683,0,0.470991250206363,0.529008749793637,0.49386328537755,0.50613671462245,0.466666666666667,0.533333333333333
31,1e+05,10083,90730.5,420,0.000208714,29,104,228.084,273.977,242404,1316930,0.291743,0.00110906,0,0,29,5156,5316,115,147,0,11,0,0,-188.377,0,0.454295394384348,0.545704605615652,0.492360580595875,0.507639419404125,0.438931297709924,0.561068702290076
32,1e+05,9113,90485.6,517,0.000304856,52,170,345.029,460.431,321110,1748980,0.429892,0.00177927,0,0,53,4640,4781,158,184,0,22,0,0,-445.696,0,0.428362674744866,0.571637325255134,0.492516717970491,0.507483282029509,0.461988304093567,0.538011695906433
33,1e+05,9036,90265.3,733,0.000440985,95,251,683.636,831.046,485092,2599740,0.574138,0.00334595,0,0,96,4551,4772,220,299,0,32,0,0,-443.519,0,0.451339621121793,0.548660378878207,0.488147591976831,0.511852408023169,0.423892100192678,0.576107899807322
34,1e+05,10440,90107.2,1357,0.000837072,167,511,1544.58,1889.28,630876,3508040,0.861135,0.00758544,0,0,169,5178,5624,425,524,0,58,0,0,-1007.88,0,0.44980867012633,0.55019132987367,0.479355674875023,0.520644325124977,0.447839831401475,0.552160168598525
35,1e+05,14972,90101.5,2882,0.00170691,299,1028,3703.45,4620.77,412695,2616990,1.09617,0.0183883,0,0,300,7354,8358,918,1183,0,102,0,0,-1715.39,0,0.444900543234081,0.555099456765919,0.468049898167006,0.531950101832994,0.436934792955735,0.563065207044265
36,1e+05,21008,90217.3,6058,0.00422141,701,2457,5545.03,7196.13,111470,877107,0.727517,0.0281455,0,0,716,10280,12198,2000,2550,0,245,0,0,-4187.19,0,0.435206056591394,0.564793943408606,0.457336061927218,0.542663938072782,0.43956043956044,0.56043956043956
37,1e+05,24374,90256.6,8373,0.00679664,1250,3708,4666.73,6137.29,19371.8,178015,0.206772,0.0238664,0,0,1265,11956,14440,2666,3409,0,455,0,0,-8301.61,0,0.43194385052971,0.56805614947029,0.452947416275193,0.547052583724807,0.438847736625514,0.561152263374486
38,1e+05,23262,90100.1,7423,0.00671791,1175,3494,2003.72,2558.42,5364.86,41879.5,0.036287,0.0100779,0,0,1195,11428,13765,2289,2840,0,390,0,0,-6948.22,0,0.439206162020455,0.560793837979545,0.453618068511094,0.546381931488906,0.446285825697017,0.553714174302983
39,1e+05,19520,89846.3,4136,0.00365752,641,1774,535.112,692.118,5055.86,28456,0.00981114,0.00271097,0,0,649,9479,11443,1167,1429,0,186,0,0,-3908.3,0,0.436032365571246,0.563967634428754,0.453063760634739,0.546936239365261,0.449537750385208,0.550462249614792
40,1e+05,15382,89576.4,1743,0.00126615,246,600,178.954,223.541,14493,70920.9,0.00933552,0.000889122,0,0,247,7359,8874,411,502,0,66,0,0,-1268.16,0,0.444611734307258,0.555388265692741,0.45333579744964,0.54666420255036,0.450164293537788,0.549835706462212
41,1e+05,11894,89310.8,694,0.00040005,75,193,128.865,160.875,56701.2,275061,0.0273067,0.00064004,0,0,77,5696,6709,163,195,0,25,0,0,-534.709,0,0.444760820045558,0.555239179954442,0.459169689641274,0.540830310358726,0.455307262569832,0.544692737430168
42,1e+05,9314,89052.8,406,0.000229232,41,110,151.044,188.497,148858,759854,0.103665,0.000750051,0,0,41,4478,5158,100,144,0,11,0,0,-257.327,0,0.444847603087698,0.555152396912302,0.464715649647157,0.535284350352843,0.409836065573771,0.590163934426229
