"L","M","U","x","G","Seasonality","drug"
-0.0220162875808691,0.0542551696139653,0.143569366323136,1,"Fitness","sesonality1","Drug A"
-0.0160681550581472,0.0623500948475526,0.149993681638389,2,"Fitness","sesonality1","Drug A"
-0.017475640453272,0.061224932406664,0.149177326523988,3,"Fitness","sesonality1","Drug A"
-0.0131383384096445,0.0639364788860812,0.152320578226825,4,"Fitness","sesonality1","Drug A"
-0.0145293035714072,0.064469100411587,0.151658167294321,5,"Fitness","sesonality1","Drug A"
-0.0111690043329716,0.0656814990487936,0.15327656416794,6,"Fitness","sesonality1","Drug A"
-0.0113691210053035,0.0666355784407751,0.153562211591919,7,"Fitness","sesonality1","Drug A"
-0.00641627529981843,0.0702315189491465,0.158507580397809,8,"Fitness","sesonality1","Drug A"
-0.00331318900585482,0.075592922443907,0.163325563511489,9,"Fitness","sesonality1","Drug A"
-0.00382808082919218,0.0751494635639792,0.164509467079326,10,"Fitness","sesonality1","Drug A"
-0.00032107750040937,0.0767400109561148,0.165168139344835,11,"Fitness","sesonality1","Drug A"
0.00216498133876516,0.07968797498191,0.169797940353567,12,"Fitness","sesonality1","Drug A"
0.0026678001132116,0.0817860612792375,0.170460376587355,13,"Fitness","sesonality1","Drug A"
0.00617589497404288,0.0849218355345394,0.17566972337186,14,"Fitness","sesonality1","Drug A"
0.00789731854019473,0.0864384198379126,0.175449924146056,15,"Fitness","sesonality1","Drug A"
0.0104658959613648,0.0876543538493749,0.178583075259324,16,"Fitness","sesonality1","Drug A"
0.0132673129639002,0.0905034833576186,0.18132423670668,17,"Fitness","sesonality1","Drug A"
0.0141183823306934,0.0903747797897645,0.180910604094076,18,"Fitness","sesonality1","Drug A"
0.016809035261565,0.0949263980117491,0.184520097929705,19,"Fitness","sesonality1","Drug A"
0.020508899878917,0.0968965754835289,0.186535930406983,20,"Fitness","sesonality1","Drug A"
0.0191733658307067,0.0992491230220196,0.191503812914455,21,"Fitness","sesonality1","Drug A"
0.0259956975823913,0.102232308421323,0.193617412703232,22,"Fitness","sesonality1","Drug A"
0.0288090666726255,0.105559115079404,0.198050004246677,23,"Fitness","sesonality1","Drug A"
0.0313542773296765,0.107135989932615,0.196335521501551,24,"Fitness","sesonality1","Drug A"
0.0326158695267544,0.109237037668326,0.198619565898711,25,"Fitness","sesonality1","Drug A"
0.0356299473874027,0.111725332361153,0.202788052645745,26,"Fitness","sesonality1","Drug A"
0.0379395489581908,0.115531722009896,0.206473920499713,27,"Fitness","sesonality1","Drug A"
0.0399190087916155,0.115800591290411,0.208239790410664,28,"Fitness","sesonality1","Drug A"
0.0440224416555879,0.118684873794941,0.21078813511256,29,"Fitness","sesonality1","Drug A"
0.0429482159284021,0.118475990656757,0.212849207578522,30,"Fitness","sesonality1","Drug A"
0.0472647155625434,0.12349095749718,0.21509718449936,31,"Fitness","sesonality1","Drug A"
0.0508494609058033,0.125382670099331,0.218602634347679,32,"Fitness","sesonality1","Drug A"
0.0531922261184885,0.128072364411879,0.221693241487585,33,"Fitness","sesonality1","Drug A"
0.0560315785522229,0.132275278983563,0.221783521928105,34,"Fitness","sesonality1","Drug A"
0.0619071809612552,0.137201427862534,0.228008595774555,35,"Fitness","sesonality1","Drug A"
0.0613306128551897,0.135992176694237,0.22935209627317,36,"Fitness","sesonality1","Drug A"
0.0649286344054284,0.142529680033579,0.232893280622595,37,"Fitness","sesonality1","Drug A"
0.0680047655973555,0.143234144355868,0.232031699660808,38,"Fitness","sesonality1","Drug A"
0.0717139936696486,0.147959027429307,0.237781881423247,39,"Fitness","sesonality1","Drug A"
NA,NA,NA,40,"Fitness","sesonality1","Drug A"
-0.0427149176019816,-0.0202532040378309,0.00477125764899961,1,"Access","sesonality1","Drug A"
-0.0369782931529994,-0.0140893610329919,0.0123124458859269,2,"Access","sesonality1","Drug A"
-0.0304175471394689,-0.00758610743703727,0.0189032306180338,3,"Access","sesonality1","Drug A"
-0.0227634241568967,0.000115181153648156,0.0263772951989364,4,"Access","sesonality1","Drug A"
-0.0151952705310272,0.00803836423004928,0.0356069712197149,5,"Access","sesonality1","Drug A"
-0.00865342975950226,0.0149294917671123,0.0429557530689421,6,"Access","sesonality1","Drug A"
-0.00146866942151005,0.0230239963005146,0.0506423654187303,7,"Access","sesonality1","Drug A"
0.00637979751956452,0.0318027631531184,0.0589488452173403,8,"Access","sesonality1","Drug A"
0.0134370829843318,0.0393670594828144,0.0674033376628242,9,"Access","sesonality1","Drug A"
0.0200794853422762,0.0462763698530335,0.0756910153643853,10,"Access","sesonality1","Drug A"
0.027966629130153,0.0546943580045943,0.0831392498885584,11,"Access","sesonality1","Drug A"
0.0343680155632243,0.0628855242699737,0.0911208875185285,12,"Access","sesonality1","Drug A"
0.0416322492767529,0.0698955645964373,0.0985318638185842,13,"Access","sesonality1","Drug A"
0.047871412390114,0.0779562992915943,0.107299110007437,14,"Access","sesonality1","Drug A"
0.0548839040388596,0.0859980213760999,0.116037562841792,15,"Access","sesonality1","Drug A"
0.062014459227986,0.0937101540059488,0.123928211276176,16,"Access","sesonality1","Drug A"
0.0699853024916254,0.101622947659661,0.131343808000629,17,"Access","sesonality1","Drug A"
0.0746093171068769,0.108715354986997,0.139925266036393,18,"Access","sesonality1","Drug A"
0.0807312823987627,0.115118695780478,0.1465617459783,19,"Access","sesonality1","Drug A"
0.0890301960397638,0.123872938418944,0.155837128061575,20,"Access","sesonality1","Drug A"
0.0950752231641974,0.131728313749077,0.163806601532029,21,"Access","sesonality1","Drug A"
0.0989737952541853,0.139730733420879,0.172120175727912,22,"Access","sesonality1","Drug A"
0.106247085147091,0.14630966616835,0.179512822789384,23,"Access","sesonality1","Drug A"
0.111053518132887,0.15480082113041,0.188646983500032,24,"Access","sesonality1","Drug A"
0.116456048339819,0.161821220272209,0.197272634975963,25,"Access","sesonality1","Drug A"
0.116410327856145,0.168364585060716,0.204593850316263,26,"Access","sesonality1","Drug A"
0.129563694963156,0.177938207859637,0.214374133376616,27,"Access","sesonality1","Drug A"
0.132082600815128,0.186559997373767,0.223475538856054,28,"Access","sesonality1","Drug A"
0.138424303524826,0.19545328940045,0.232287235255771,29,"Access","sesonality1","Drug A"
0.146448063659199,0.203661752059161,0.240999735120584,30,"Access","sesonality1","Drug A"
0.14976263652231,0.212476918105368,0.250802670097073,31,"Access","sesonality1","Drug A"
0.155020872661756,0.221204589830072,0.261207665529219,32,"Access","sesonality1","Drug A"
0.159841009167735,0.230114442832791,0.270521965834972,33,"Access","sesonality1","Drug A"
0.164343142404168,0.238834153153041,0.278362974235049,34,"Access","sesonality1","Drug A"
0.166891189916154,0.246310250066594,0.287745897759466,35,"Access","sesonality1","Drug A"
0.178013290024572,0.256658873191088,0.298090313378701,36,"Access","sesonality1","Drug A"
0.179941902686287,0.263592335182442,0.305457464275214,37,"Access","sesonality1","Drug A"
0.184074802569705,0.272421983408204,0.314977701548682,38,"Access","sesonality1","Drug A"
0.192108838068365,0.280244956063035,0.322688964921202,39,"Access","sesonality1","Drug A"
NA,NA,NA,40,"Access","sesonality1","Drug A"
0.036482217542462,0.117345734038534,0.208285653328926,1,"eir","sesonality1","Drug A"
0.0300932787502403,0.108584376688273,0.200460957658769,2,"eir","sesonality1","Drug A"
0.0245949980780698,0.103085043832641,0.194444383231333,3,"eir","sesonality1","Drug A"
0.0228175306122385,0.0993480904257393,0.190317201437683,4,"eir","sesonality1","Drug A"
0.0217586921068572,0.095896759416177,0.185811981147415,5,"eir","sesonality1","Drug A"
0.0213232787735456,0.096371804026873,0.184706626699073,6,"eir","sesonality1","Drug A"
0.0199543945269768,0.0937306666544958,0.183091751976164,7,"eir","sesonality1","Drug A"
0.021796945935705,0.0963301755733097,0.185431959329053,8,"eir","sesonality1","Drug A"
0.0237292044947078,0.096482498786372,0.183794678524969,9,"eir","sesonality1","Drug A"
0.0251792147102995,0.100196329194031,0.188122310416525,10,"eir","sesonality1","Drug A"
0.0256758736433469,0.100603427365146,0.190439475554863,11,"eir","sesonality1","Drug A"
0.0248464663329364,0.0989230603503973,0.187312281908832,12,"eir","sesonality1","Drug A"
0.0243977146019999,0.100572414116939,0.188548060994552,13,"eir","sesonality1","Drug A"
0.0222183278304031,0.0951381573434188,0.189194247732376,14,"eir","sesonality1","Drug A"
0.0228877367230784,0.0976501960394858,0.188256928037644,15,"eir","sesonality1","Drug A"
0.0213391342448591,0.0968248333341426,0.186767645409733,16,"eir","sesonality1","Drug A"
0.0205062229574394,0.0969534356834151,0.188814306443362,17,"eir","sesonality1","Drug A"
0.0202840084129383,0.0976787612289001,0.190401626338784,18,"eir","sesonality1","Drug A"
0.0220975923184028,0.100850009968544,0.189230061256443,19,"eir","sesonality1","Drug A"
0.0222937582853995,0.098771088864576,0.189117463776347,20,"eir","sesonality1","Drug A"
0.0211700568041506,0.0976267564079829,0.188709863579302,21,"eir","sesonality1","Drug A"
0.0223208097982863,0.0980471639183531,0.191271949595409,22,"eir","sesonality1","Drug A"
0.0235013271834026,0.0992384675399992,0.189883306960174,23,"eir","sesonality1","Drug A"
0.0226386484869841,0.0986442828892506,0.191069443403038,24,"eir","sesonality1","Drug A"
0.0200018287966084,0.095463788863168,0.186189609654747,25,"eir","sesonality1","Drug A"
0.0219902922686201,0.0960123443650332,0.188187156076731,26,"eir","sesonality1","Drug A"
0.0240416817016754,0.0999572954645527,0.192633159177205,27,"eir","sesonality1","Drug A"
0.0238768899011066,0.0986384295483004,0.188359437756063,28,"eir","sesonality1","Drug A"
0.0258671179281823,0.0986879749473469,0.190871064718044,29,"eir","sesonality1","Drug A"
0.0243693683392033,0.0990200170303074,0.189445418914682,30,"eir","sesonality1","Drug A"
0.0246114629737536,0.0994376806442195,0.190776800084792,31,"eir","sesonality1","Drug A"
0.0233924468694853,0.098818611447433,0.190491165509452,32,"eir","sesonality1","Drug A"
0.0241973853618441,0.101283041351603,0.192683188466324,33,"eir","sesonality1","Drug A"
0.0244050895606635,0.0998867954363381,0.190617487281893,34,"eir","sesonality1","Drug A"
0.0237735330042196,0.100597830455325,0.192823711949788,35,"eir","sesonality1","Drug A"
0.0243720556465265,0.102900443148416,0.197426510013285,36,"eir","sesonality1","Drug A"
0.0229476005979571,0.101120474830688,0.190760039834789,37,"eir","sesonality1","Drug A"
0.0198232242930501,0.0952412830555337,0.185702670350199,38,"eir","sesonality1","Drug A"
0.0192982895084254,0.0950525568248499,0.18573915103349,39,"eir","sesonality1","Drug A"
NA,NA,NA,40,"eir","sesonality1","Drug A"
0.022185158405543,0.0970678398288153,0.187133881234093,1,"IC50_S","sesonality1","Drug A"
0.0232540723715162,0.0967710447067078,0.184462400631916,2,"IC50_S","sesonality1","Drug A"
0.0239177896007579,0.100435347283214,0.188137681835443,3,"IC50_S","sesonality1","Drug A"
0.0261651611059352,0.0998430281537556,0.186880981168481,4,"IC50_S","sesonality1","Drug A"
0.0236670443640973,0.0978270470431966,0.185517220939535,5,"IC50_S","sesonality1","Drug A"
0.0233168579544468,0.0989497215354015,0.187535297426972,6,"IC50_S","sesonality1","Drug A"
0.021579164815394,0.0976578082141405,0.188344726078366,7,"IC50_S","sesonality1","Drug A"
0.0221898199909562,0.0979503061012498,0.189331187635121,8,"IC50_S","sesonality1","Drug A"
