"L","M","U","x","G","EIR","Resistance_level","Access","Dosage","Seasonality","drug"
-0.0480823033328294,-0.0462541929798276,-0.0445973852418311,1,"Fitness",5,7,0.04,0,"sesonality1","A+B"
-0.0461157180098712,-0.0443705523323995,-0.0427924250974179,2,"Fitness",5,7,0.04,0,"sesonality1","A+B"
-0.0441419577330379,-0.0424468989274807,-0.0409143493939616,3,"Fitness",5,7,0.04,0,"sesonality1","A+B"
-0.0421785150510287,-0.0405389809233905,-0.0390564054081548,4,"Fitness",5,7,0.04,0,"sesonality1","A+B"
-0.0400768222588618,-0.0385157089142177,-0.037043245421612,5,"Fitness",5,7,0.04,0,"sesonality1","A+B"
-0.0381443292332699,-0.0366311630152393,-0.0352368434507128,6,"Fitness",5,7,0.04,0,"sesonality1","A+B"
-0.0360666478678841,-0.0345860383728209,-0.0332239135197038,7,"Fitness",5,7,0.04,0,"sesonality1","A+B"
-0.0340918678287895,-0.0326064862519725,-0.0312687323435287,8,"Fitness",5,7,0.04,0,"sesonality1","A+B"
-0.0321219225621298,-0.0306759781654208,-0.0293430127063715,9,"Fitness",5,7,0.04,0,"sesonality1","A+B"
-0.0301525298063004,-0.0287406581621858,-0.0274272189015737,10,"Fitness",5,7,0.04,0,"sesonality1","A+B"
-0.02832897552001,-0.0268374966027416,-0.0255182265923337,11,"Fitness",5,7,0.04,0,"sesonality1","A+B"
-0.0262526893172179,-0.0248366764022727,-0.0235848789413987,12,"Fitness",5,7,0.04,0,"sesonality1","A+B"
-0.0244059263072427,-0.0229580850900031,-0.0216887358517432,13,"Fitness",5,7,0.04,0,"sesonality1","A+B"
-0.02248002141777,-0.0210519365123297,-0.0197743627056035,14,"Fitness",5,7,0.04,0,"sesonality1","A+B"
-0.0206328150461125,-0.019190134062943,-0.0179366294204887,15,"Fitness",5,7,0.04,0,"sesonality1","A+B"
-0.0187444510636653,-0.0172957151289573,-0.0160374030059351,16,"Fitness",5,7,0.04,0,"sesonality1","A+B"
-0.0169419426033029,-0.0154638278867676,-0.0141587602538821,17,"Fitness",5,7,0.04,0,"sesonality1","A+B"
-0.0150156871134193,-0.0135046085969424,-0.0122148939670061,18,"Fitness",5,7,0.04,0,"sesonality1","A+B"
-0.0132071944129954,-0.0116710459039605,-0.0103716862741084,19,"Fitness",5,7,0.04,0,"sesonality1","A+B"
-0.011360248917566,-0.00980606780457099,-0.00850478874967034,20,"Fitness",5,7,0.04,0,"sesonality1","A+B"
