"Setting","Factor","First","Effect","MAX","MIN","EIR","Resistance_level","Treatment_access","Dosage","Seasonality","sum_first"
"Spread_sesonality1_EIR_5_Access_0.04_Resistance_2.5_Dosage_0","Fitness",0.986873022470765,"First",0.968319957561693,0.967380658690765,5,2.5,0.04,0,"sesonality1",0.980720721305923
"Spread_sesonality1_EIR_5_Access_0.04_Resistance_2.5_Dosage_0","half-life",0,"First",0.00714808959229418,-0.00792554828145463,5,2.5,0.04,0,"sesonality1",0.980720721305923
"Spread_sesonality1_EIR_5_Access_0.04_Resistance_2.5_Dosage_0","MKR",0.00110663821007957,"First",0.00847570949681438,-0.00643696462747911,5,2.5,0.04,0,"sesonality1",0.980720721305923
"Spread_sesonality1_EIR_5_Access_0.04_Resistance_2.5_Dosage_0","Diangostic",0,"First",0.00652492859346814,-0.0082587454922791,5,2.5,0.04,0,"sesonality1",0.980720721305923
"Spread_sesonality1_EIR_5_Access_0.04_Resistance_2.5_Dosage_0","Cmax/IC50",0.0120203393191555,"First",0.0190713459712527,0.00445209497531679,5,2.5,0.04,0,"sesonality1",0.980720721305923
"Spread_sesonality1_EIR_5_Access_0.04_Resistance_2.5_Dosage_0","Fitness",0.971606836270154,"Total",0.978785651958914,0.964487823953876,5,2.5,0.04,0,"sesonality1",0
"Spread_sesonality1_EIR_5_Access_0.04_Resistance_2.5_Dosage_0","half-life",0.0133718338676053,"Total",0.0136042248100309,0.0131555901519826,5,2.5,0.04,0,"sesonality1",0
"Spread_sesonality1_EIR_5_Access_0.04_Resistance_2.5_Dosage_0","MKR",0.00479450670527996,"Total",0.0048854941787327,0.00470064890065798,5,2.5,0.04,0,"sesonality1",0
"Spread_sesonality1_EIR_5_Access_0.04_Resistance_2.5_Dosage_0","Diangostic",0.00156250233221676,"Total",0.00158621206000673,0.00153672549055094,5,2.5,0.04,0,"sesonality1",0
"Spread_sesonality1_EIR_5_Access_0.04_Resistance_2.5_Dosage_0","Cmax/IC50",0.0268366480128273,"Total",0.0272761646707254,0.0263812286674178,5,2.5,0.04,0,"sesonality1",0
"Spread_sesonality1_EIR_10_Access_0.04_Resistance_2.5_Dosage_0","Fitness",0.978034746792462,"First",0.978515511810455,0.978042417112982,10,2.5,0.04,0,"sesonality1",1.00024879483302
"Spread_sesonality1_EIR_10_Access_0.04_Resistance_2.5_Dosage_0","half-life",0.00555309455518425,"First",0.0131537886668742,-0.00231128205174198,10,2.5,0.04,0,"sesonality1",1.00024879483302
"Spread_sesonality1_EIR_10_Access_0.04_Resistance_2.5_Dosage_0","MKR",0.0030191472715039,"First",0.0106767018247512,-0.00467338741349553,10,2.5,0.04,0,"sesonality1",1.00024879483302
"Spread_sesonality1_EIR_10_Access_0.04_Resistance_2.5_Dosage_0","Diangostic",0.0054078551292444,"First",0.013083938685647,-0.00223083812676555,10,2.5,0.04,0,"sesonality1",1.00024879483302
"Spread_sesonality1_EIR_10_Access_0.04_Resistance_2.5_Dosage_0","Cmax/IC50",0.00798515625160511,"First",0.0156305997029064,0.000366539631689105,10,2.5,0.04,0,"sesonality1",1.00024879483302
"Spread_sesonality1_EIR_10_Access_0.04_Resistance_2.5_Dosage_0","Fitness",0.982649157884659,"Total",0.99036017034496,0.975075344509091,10,2.5,0.04,0,"sesonality1",0
"Spread_sesonality1_EIR_10_Access_0.04_Resistance_2.5_Dosage_0","half-life",0.00798432535012487,"Total",0.00809387608148437,0.00787852450952338,10,2.5,0.04,0,"sesonality1",0
