"Setting","Factor","First","Effect","MAX","MIN","EIR","Resistance_level","Treatment_access","Dosage","Seasonality","sum_first"
"Spread_sesonality1_EIR_5_Access_0.04_Resistance_7_Dosage_0","Fitness",0.913869867061383,"First",0.91619144652617,0.914873395316474,5,7,0.04,0,"sesonality1",1.00182659343237
"Spread_sesonality1_EIR_5_Access_0.04_Resistance_7_Dosage_0","IC50_S",0.00350683916468104,"First",0.00968632538285768,-0.00274515564461085,5,7,0.04,0,"sesonality1",1.00182659343237
"Spread_sesonality1_EIR_5_Access_0.04_Resistance_7_Dosage_0","half_life",0.0756151137251831,"First",0.0817912965729291,0.0696926745984803,5,7,0.04,0,"sesonality1",1.00182659343237
"Spread_sesonality1_EIR_5_Access_0.04_Resistance_7_Dosage_0","MKR",0.00543441385347816,"First",0.0116416118141247,-0.000812142449814313,5,7,0.04,0,"sesonality1",1.00182659343237
"Spread_sesonality1_EIR_5_Access_0.04_Resistance_7_Dosage_0","Diagnostic",0.00157376619527427,"First",0.00771348770869829,-0.00475922648115907,5,7,0.04,0,"sesonality1",1.00182659343237
"Spread_sesonality1_EIR_5_Access_0.04_Resistance_7_Dosage_0","Fitness",0.915498502749473,"Total",0.921458269192529,0.909489187922895,5,7,0.04,0,"sesonality1",0
"Spread_sesonality1_EIR_5_Access_0.04_Resistance_7_Dosage_0","IC50_S",0.00351165703455576,"Total",0.00354933524318218,0.00347350309008351,5,7,0.04,0,"sesonality1",0
"Spread_sesonality1_EIR_5_Access_0.04_Resistance_7_Dosage_0","half_life",0.0761718258145795,"Total",0.0767727979013882,0.0755603220473374,5,7,0.04,0,"sesonality1",0
"Spread_sesonality1_EIR_5_Access_0.04_Resistance_7_Dosage_0","MKR",0.00620456058402803,"Total",0.00627659622198304,0.0061331668575373,5,7,0.04,0,"sesonality1",0
"Spread_sesonality1_EIR_5_Access_0.04_Resistance_7_Dosage_0","Diagnostic",0.000938588645708638,"Total",0.000949428133630167,0.000927521906520559,5,7,0.04,0,"sesonality1",0
"Spread_sesonality1_EIR_10_Access_0.04_Resistance_7_Dosage_0","Fitness",0.949281638413923,"First",0.936376560583147,0.935356690971902,10,7,0.04,0,"sesonality1",0.985875203396752
"Spread_sesonality1_EIR_10_Access_0.04_Resistance_7_Dosage_0","IC50_S",0,"First",0.00490053655394092,-0.00741094823217906,10,7,0.04,0,"sesonality1",0.985875203396752
"Spread_sesonality1_EIR_10_Access_0.04_Resistance_7_Dosage_0","half_life",0.0507183615860773,"First",0.0561414295920582,0.043944013179422,10,7,0.04,0,"sesonality1",0.985875203396752
"Spread_sesonality1_EIR_10_Access_0.04_Resistance_7_Dosage_0","MKR",0,"First",0.00596782987311744,-0.00635335994899079,10,7,0.04,0,"sesonality1",0.985875203396752
"Spread_sesonality1_EIR_10_Access_0.04_Resistance_7_Dosage_0","Diagnostic",0,"First",0.00327009731383725,-0.00907098691350292,10,7,0.04,0,"sesonality1",0.985875203396752
"Spread_sesonality1_EIR_10_Access_0.04_Resistance_7_Dosage_0","Fitness",0.942058119801398,"Total",0.948047007479709,0.936009601621539,10,7,0.04,0,"sesonality1",0
"Spread_sesonality1_EIR_10_Access_0.04_Resistance_7_Dosage_0","IC50_S",0.00391175072337597,"Total",0.00395554717270484,0.00386735162411182,10,7,0.04,0,"sesonality1",0
"Spread_sesonality1_EIR_10_Access_0.04_Resistance_7_Dosage_0","half_life",0.0555249396723551,"Total",0.0559572000274097,0.0550921998138775,10,7,0.04,0,"sesonality1",0
"Spread_sesonality1_EIR_10_Access_0.04_Resistance_7_Dosage_0","MKR",0.00482319347289132,"Total",0.00487555775634007,0.00476817426297973,10,7,0.04,0,"sesonality1",0
"Spread_sesonality1_EIR_10_Access_0.04_Resistance_7_Dosage_0","Diagnostic",0.00395287769123539,"Total",0.0040052614333075,0.00389868448167915,10,7,0.04,0,"sesonality1",0
"Spread_sesonality1_EIR_500_Access_0.04_Resistance_7_Dosage_0","Fitness",0.936617439216437,"First",0.942386256387851,0.941509364604663,500,7,0.04,0,"sesonality1",1.00568123195839
"Spread_sesonality1_EIR_500_Access_0.04_Resistance_7_Dosage_0","IC50_S",0.00310372501561099,"First",0.00932467486789073,-0.00295171412074673,500,7,0.04,0,"sesonality1",1.00568123195839
"Spread_sesonality1_EIR_500_Access_0.04_Resistance_7_Dosage_0","half_life",0.0541502825094382,"First",0.0605843379693216,0.0484226802768318,500,7,0.04,0,"sesonality1",1.00568123195839
"Spread_sesonality1_EIR_500_Access_0.04_Resistance_7_Dosage_0","MKR",0.00375305780520639,"First",0.010002473205446,-0.00225355516691202,500,7,0.04,0,"sesonality1",1.00568123195839
"Spread_sesonality1_EIR_500_Access_0.04_Resistance_7_Dosage_0","Diagnostic",0.00237549545330724,"First",0.00861285373240073,-0.0036819776751216,500,7,0.04,0,"sesonality1",1.00568123195839
"Spread_sesonality1_EIR_500_Access_0.04_Resistance_7_Dosage_0","Fitness",0.942070844157212,"Total",0.948040205927258,0.935975491213985,500,7,0.04,0,"sesonality1",0
"Spread_sesonality1_EIR_500_Access_0.04_Resistance_7_Dosage_0","IC50_S",0.00201025676472575,"Total",0.00203108677529587,0.00198933832289637,500,7,0.04,0,"sesonality1",0
"Spread_sesonality1_EIR_500_Access_0.04_Resistance_7_Dosage_0","half_life",0.0547124998981344,"Total",0.055118323718066,0.054294703292356,500,7,0.04,0,"sesonality1",0
"Spread_sesonality1_EIR_500_Access_0.04_Resistance_7_Dosage_0","MKR",0.00179165072919917,"Total",0.001808847402292,0.00177530418746924,500,7,0.04,0,"sesonality1",0
"Spread_sesonality1_EIR_500_Access_0.04_Resistance_7_Dosage_0","Diagnostic",0.000709432530639716,"Total",0.000718038152764083,0.000700846271507683,500,7,0.04,0,"sesonality1",0
"Spread_sesonality1_EIR_5_Access_0.04_Resistance_18_Dosage_0","Fitness",0.988889390138278,"First",0.989848553255415,0.989659037290967,5,18,0.04,0,"sesonality1",1.00087334237795
"Spread_sesonality1_EIR_5_Access_0.04_Resistance_18_Dosage_0","IC50_S",0.00101256904922669,"First",0.00703909533246193,-0.00492857033202065,5,18,0.04,0,"sesonality1",1.00087334237795
"Spread_sesonality1_EIR_5_Access_0.04_Resistance_18_Dosage_0","half_life",0.00781908869276496,"First",0.0138204946785701,0.00197506284696662,5,18,0.04,0,"sesonality1",1.00087334237795
"Spread_sesonality1_EIR_5_Access_0.04_Resistance_18_Dosage_0","MKR",0.00107169655625352,"First",0.00714831292293609,-0.00484934811378428,5,18,0.04,0,"sesonality1",1.00087334237795
"Spread_sesonality1_EIR_5_Access_0.04_Resistance_18_Dosage_0","Diagnostic",0.00120725556347681,"First",0.00721387197840667,-0.00470569472169045,5,18,0.04,0,"sesonality1",1.00087334237795
"Spread_sesonality1_EIR_5_Access_0.04_Resistance_18_Dosage_0","Fitness",0.990277038923097,"Total",0.99614903679652,0.984304260313978,5,18,0.04,0,"sesonality1",0
"Spread_sesonality1_EIR_5_Access_0.04_Resistance_18_Dosage_0","IC50_S",0.000938052431271839,"Total",0.000947537739476298,0.000928309365618553,5,18,0.04,0,"sesonality1",0
"Spread_sesonality1_EIR_5_Access_0.04_Resistance_18_Dosage_0","half_life",0.00815058813973218,"Total",0.00822445026582026,0.00807518096572506,5,18,0.04,0,"sesonality1",0
"Spread_sesonality1_EIR_5_Access_0.04_Resistance_18_Dosage_0","MKR",0.0015367578844882,"Total",0.00155259175948135,0.00152085454570967,5,18,0.04,0,"sesonality1",0
"Spread_sesonality1_EIR_5_Access_0.04_Resistance_18_Dosage_0","Diagnostic",0.000654095933391474,"Total",0.000661401217741062,0.000646765521950539,5,18,0.04,0,"sesonality1",0
"Spread_sesonality1_EIR_10_Access_0.04_Resistance_18_Dosage_0","Fitness",0.997215129796823,"First",0.996121343619476,0.996056813448703,10,18,0.04,0,"sesonality1",0.99887040555064
"Spread_sesonality1_EIR_10_Access_0.04_Resistance_18_Dosage_0","IC50_S",0,"First",0.00538522914818284,-0.00648041782803008,10,18,0.04,0,"sesonality1",0.99887040555064
"Spread_sesonality1_EIR_10_Access_0.04_Resistance_18_Dosage_0","half_life",0.00278487020317683,"First",0.00872649277369849,-0.00317076090821793,10,18,0.04,0,"sesonality1",0.99887040555064
"Spread_sesonality1_EIR_10_Access_0.04_Resistance_18_Dosage_0","MKR",0,"First",0.00554650498777649,-0.00632990629132286,10,18,0.04,0,"sesonality1",0.99887040555064
"Spread_sesonality1_EIR_10_Access_0.04_Resistance_18_Dosage_0","Diagnostic",0,"First",0.00570591173343806,-0.0061946848308401,10,18,0.04,0,"sesonality1",0.99887040555064
"Spread_sesonality1_EIR_10_Access_0.04_Resistance_18_Dosage_0","Fitness",0.996831893984481,"Total",1.0027839149532,0.990895174975634,10,18,0.04,0,"sesonality1",0
"Spread_sesonality1_EIR_10_Access_0.04_Resistance_18_Dosage_0","IC50_S",0.000378682417395863,"Total",0.000383264003735649,0.000374072926077389,10,18,0.04,0,"sesonality1",0
"Spread_sesonality1_EIR_10_Access_0.04_Resistance_18_Dosage_0","half_life",0.00345182719333421,"Total",0.00347949512127171,0.00342318949169732,10,18,0.04,0,"sesonality1",0
"Spread_sesonality1_EIR_10_Access_0.04_Resistance_18_Dosage_0","MKR",0.000367001799514667,"Total",0.000372144605702267,0.000362030700813027,10,18,0.04,0,"sesonality1",0
"Spread_sesonality1_EIR_10_Access_0.04_Resistance_18_Dosage_0","Diagnostic",0.000297865408433366,"Total",0.000301439890589343,0.000294318338324659,10,18,0.04,0,"sesonality1",0
"Spread_sesonality1_EIR_500_Access_0.04_Resistance_18_Dosage_0","Fitness",0.991950501623891,"First",0.994392449900865,0.994290632172793,500,18,0.04,0,"sesonality1",1.00241029417802
"Spread_sesonality1_EIR_500_Access_0.04_Resistance_18_Dosage_0","IC50_S",0.00109958765375153,"First",0.00723462304544438,-0.00479739001994626,500,18,0.04,0,"sesonality1",1.00241029417802
"Spread_sesonality1_EIR_500_Access_0.04_Resistance_18_Dosage_0","half_life",0.00431433756105751,"First",0.01040665920308,-0.00161622238821861,500,18,0.04,0,"sesonality1",1.00241029417802
"Spread_sesonality1_EIR_500_Access_0.04_Resistance_18_Dosage_0","MKR",0.00121987340998023,"First",0.00732027776057167,-0.00464253410676464,500,18,0.04,0,"sesonality1",1.00241029417802
"Spread_sesonality1_EIR_500_Access_0.04_Resistance_18_Dosage_0","Diagnostic",0.00141569975131951,"First",0.00751926353351328,-0.00448273738214802,500,18,0.04,0,"sesonality1",1.00241029417802
"Spread_sesonality1_EIR_500_Access_0.04_Resistance_18_Dosage_0","Fitness",0.99459497196168,"Total",1.00048122269804,0.988501618084948,500,18,0.04,0,"sesonality1",0
"Spread_sesonality1_EIR_500_Access_0.04_Resistance_18_Dosage_0","IC50_S",0.000450542238388784,"Total",0.000456059538638326,0.000444911766103511,500,18,0.04,0,"sesonality1",0
"Spread_sesonality1_EIR_500_Access_0.04_Resistance_18_Dosage_0","half_life",0.00425829145958333,"Total",0.00429886305622004,0.00421764968760731,500,18,0.04,0,"sesonality1",0
"Spread_sesonality1_EIR_500_Access_0.04_Resistance_18_Dosage_0","MKR",0.000897203497457988,"Total",0.000907317636338767,0.000886704652847937,500,18,0.04,0,"sesonality1",0
"Spread_sesonality1_EIR_500_Access_0.04_Resistance_18_Dosage_0","Diagnostic",0.00146864579128221,"Total",0.00148591284353058,0.00145086117964899,500,18,0.04,0,"sesonality1",0
"Spread_sesonality1_EIR_5_Access_0.5_Resistance_7_Dosage_0","Fitness",0.0499203017962447,"First",0.0546206630011847,0.0427785134074992,5,7,0.5,0,"sesonality1",0.975301190882173
"Spread_sesonality1_EIR_5_Access_0.5_Resistance_7_Dosage_0","IC50_S",0.0223528876081956,"First",0.0279365470871123,0.0157736402840081,5,7,0.5,0,"sesonality1",0.975301190882173
"Spread_sesonality1_EIR_5_Access_0.5_Resistance_7_Dosage_0","half_life",0.898312148454629,"First",0.877132999734037,0.875122084206387,5,7,0.5,0,"sesonality1",0.975301190882173
"Spread_sesonality1_EIR_5_Access_0.5_Resistance_7_Dosage_0","MKR",0.0294146621409305,"First",0.0348532988746527,0.0225252959901672,5,7,0.5,0,"sesonality1",0.975301190882173
"Spread_sesonality1_EIR_5_Access_0.5_Resistance_7_Dosage_0","Diagnostic",0,"First",0.00347507969630373,-0.00866178344568186,5,7,0.5,0,"sesonality1",0.975301190882173
"Spread_sesonality1_EIR_5_Access_0.5_Resistance_7_Dosage_0","Fitness",0.0525197565588705,"Total",0.0529269348119253,0.0521101749368155,5,7,0.5,0,"sesonality1",0
"Spread_sesonality1_EIR_5_Access_0.5_Resistance_7_Dosage_0","IC50_S",0.0282153902109632,"Total",0.0284933695055511,0.0279327145421846,5,7,0.5,0,"sesonality1",0
"Spread_sesonality1_EIR_5_Access_0.5_Resistance_7_Dosage_0","half_life",0.894825460190242,"Total",0.900698941870921,0.888973547302931,5,7,0.5,0,"sesonality1",0
"Spread_sesonality1_EIR_5_Access_0.5_Resistance_7_Dosage_0","MKR",0.0426052265826662,"Total",0.0430283501292909,0.042181222231664,5,7,0.5,0,"sesonality1",0
"Spread_sesonality1_EIR_5_Access_0.5_Resistance_7_Dosage_0","Diagnostic",0.00277628123805632,"Total",0.00280765415107743,0.00274384184170204,5,7,0.5,0,"sesonality1",0
"Spread_sesonality1_EIR_10_Access_0.5_Resistance_7_Dosage_0","Fitness",0.0758454568990133,"First",0.080333769887471,0.0685345250741845,10,7,0.5,0,"sesonality1",0.981667188348979
"Spread_sesonality1_EIR_10_Access_0.5_Resistance_7_Dosage_0","IC50_S",0.0224786033817224,"First",0.0281257042223722,0.0160756164664063,10,7,0.5,0,"sesonality1",0.981667188348979
"Spread_sesonality1_EIR_10_Access_0.5_Resistance_7_Dosage_0","half_life",0.873773682907913,"First",0.858879989125393,0.856593879329164,10,7,0.5,0,"sesonality1",0.981667188348979
"Spread_sesonality1_EIR_10_Access_0.5_Resistance_7_Dosage_0","MKR",0.0270226209468957,"First",0.0325803855738214,0.0202976762914791,10,7,0.5,0,"sesonality1",0.981667188348979
"Spread_sesonality1_EIR_10_Access_0.5_Resistance_7_Dosage_0","Diagnostic",0.000879635864455127,"First",0.00690959444080076,-0.00517205724798849,10,7,0.5,0,"sesonality1",0.981667188348979
"Spread_sesonality1_EIR_10_Access_0.5_Resistance_7_Dosage_0","Fitness",0.0762348211485362,"Total",0.0768356931857809,0.075658522614487,10,7,0.5,0,"sesonality1",0
