"Setting","Factor","First","Effect","MAX","MIN","EIR","Resistance_level","Treatment_access","Dosage","Seasonality","sum_first"
"Spread_sesonality1_EIR_5_Access_0.04_Resistance_7_Dosage_0","Fitness",0.948953082763413,"First",0.979892049246376,0.979227211750497,5,7,0.04,0,"sesonality1",1.03225103435578
"Spread_sesonality1_EIR_5_Access_0.04_Resistance_7_Dosage_0","half-life_long",0.0060949732210804,"First",0.0135920795623332,-0.00122249041749699,5,7,0.04,0,"sesonality1",1.03225103435578
"Spread_sesonality1_EIR_5_Access_0.04_Resistance_7_Dosage_0","MKR_long",0.00546766580061707,"First",0.0129833824683725,-0.00186213548589432,5,7,0.04,0,"sesonality1",1.03225103435578
"Spread_sesonality1_EIR_5_Access_0.04_Resistance_7_Dosage_0","Diangostic",0.00592848941728147,"First",0.0133076606586086,-0.0012943674396982,5,7,0.04,0,"sesonality1",1.03225103435578
"Spread_sesonality1_EIR_5_Access_0.04_Resistance_7_Dosage_0","IC50_S_short",0.00568928045032363,"First",0.013127321346373,-0.00156479539091693,5,7,0.04,0,"sesonality1",1.03225103435578
"Spread_sesonality1_EIR_5_Access_0.04_Resistance_7_Dosage_0","half-life_short",0.00722457317686209,"First",0.0148548229610064,-2.30605605818241e-05,5,7,0.04,0,"sesonality1",1.03225103435578
"Spread_sesonality1_EIR_5_Access_0.04_Resistance_7_Dosage_0","MKR_short",0.00548703624471332,"First",0.0129130754116807,-0.0017172042243055,5,7,0.04,0,"sesonality1",1.03225103435578
"Spread_sesonality1_EIR_5_Access_0.04_Resistance_7_Dosage_0","Cmax/IC50",0.0151548989257094,"First",0.0228791307410024,0.00828373346018791,5,7,0.04,0,"sesonality1",1.03225103435578
"Spread_sesonality1_EIR_5_Access_0.04_Resistance_7_Dosage_0","Fitness",0.976981837563242,"Total",0.984463575865876,0.969510994455634,5,7,0.04,0,"sesonality1",0
"Spread_sesonality1_EIR_5_Access_0.04_Resistance_7_Dosage_0","half-life_long",0.00362024544711565,"Total",0.00368594253209508,0.00354978076436381,5,7,0.04,0,"sesonality1",0
"Spread_sesonality1_EIR_5_Access_0.04_Resistance_7_Dosage_0","MKR_long",0.00144133113240257,"Total",0.00146533054014677,0.00141810034820411,5,7,0.04,0,"sesonality1",0
"Spread_sesonality1_EIR_5_Access_0.04_Resistance_7_Dosage_0","Diangostic",0.00266190529337516,"Total",0.00270328171579572,0.0026207220447109,5,7,0.04,0,"sesonality1",0
"Spread_sesonality1_EIR_5_Access_0.04_Resistance_7_Dosage_0","IC50_S_short",0.00150539018362821,"Total",0.00152798324202589,0.00148280589851305,5,7,0.04,0,"sesonality1",0
"Spread_sesonality1_EIR_5_Access_0.04_Resistance_7_Dosage_0","half-life_short",0.00433086211344772,"Total",0.00439929932605275,0.00425880927751227,5,7,0.04,0,"sesonality1",0
"Spread_sesonality1_EIR_5_Access_0.04_Resistance_7_Dosage_0","MKR_short",0.00128902809542292,"Total",0.00130824893531943,0.00127012804147521,5,7,0.04,0,"sesonality1",0
"Spread_sesonality1_EIR_5_Access_0.04_Resistance_7_Dosage_0","Cmax/IC50",0.0132393530646449,"Total",0.0135019196385691,0.0129703265977295,5,7,0.04,0,"sesonality1",0
"Spread_sesonality1_EIR_10_Access_0.04_Resistance_7_Dosage_0","Fitness",0.973387982089825,"First",0.984061145345793,0.983691080532667,10,7,0.04,0,"sesonality1",1.01077581235502
"Spread_sesonality1_EIR_10_Access_0.04_Resistance_7_Dosage_0","half-life_long",0.00395429816302961,"First",0.011357084707344,-0.00366585873149392,10,7,0.04,0,"sesonality1",1.01077581235502
"Spread_sesonality1_EIR_10_Access_0.04_Resistance_7_Dosage_0","MKR_long",0.00242590265569546,"First",0.0098486701413767,-0.00527007290800542,10,7,0.04,0,"sesonality1",1.01077581235502
"Spread_sesonality1_EIR_10_Access_0.04_Resistance_7_Dosage_0","Diangostic",0.00494617861583261,"First",0.012438718707368,-0.0026392368285681,10,7,0.04,0,"sesonality1",1.01077581235502
"Spread_sesonality1_EIR_10_Access_0.04_Resistance_7_Dosage_0","IC50_S_short",0.00397514940502507,"First",0.0112319445417571,-0.00378308729886643,10,7,0.04,0,"sesonality1",1.01077581235502
"Spread_sesonality1_EIR_10_Access_0.04_Resistance_7_Dosage_0","half-life_short",0.00305974841346841,"First",0.0103784338705886,-0.00466448371865223,10,7,0.04,0,"sesonality1",1.01077581235502
"Spread_sesonality1_EIR_10_Access_0.04_Resistance_7_Dosage_0","MKR_short",0.00425852746867564,"First",0.0116745388068416,-0.00337451954739691,10,7,0.04,0,"sesonality1",1.01077581235502
